huishouden_id,woonoppervlak_m2,aantal_personen,woningtype,bouwjaar,isolatieklasse,gemiddeld_verbruik_kwh,gemiddeld_verbruik_m3,duurzaam_actief,inkomen_klasse,bouwperiode
HH0070,81,2,Appartement,1979,Slecht,2191.0,821.0,Nee,,1975-1995
HH0071,111,5,Appartement,1960,Matig,3706.0,1397.0,Nee,Hoog,1945-1975
HH0072,146,3,Tussenwoning,1954,Slecht,3102.0,1887.0,Nee,Midden,1945-1975
HH0073,99,1,Hoekwoning,1965,Goed,1861.0,741.0,Ja,Midden,1945-1975
HH0074,147,2,Vrijstaand,1947,Slecht,4632.0,1711.0,Nee,Hoog,1945-1975
HH0075,21,4,Tussenwoning,1981,Matig,2814.0,217.0,Nee,Laag,1975-1995
HH0076,125,3,Appartement,1983,Goed,2737.0,1029.0,Nee,Hoog,1975-1995
HH0077,103,3,Appartement,1953,Slecht,2777.0,1309.0,Nee,,1945-1975
HH0078,91,1,Tussenwoning,2017,Slecht,1840.0,581.0,Nee,Laag,>2010
HH0079,103,4,Hoekwoning,1941,,3139.0,,Nee,Hoog,<1945
HH0080,40,5,Hoekwoning,1976,Matig,3373.0,455.0,Nee,Laag,1975-1995
HH0081,93,3,Appartement,2008,Matig,2731.0,730.0,Nee,Laag,1995-2010
HH0082,111,1,Appartement,1977,Slecht,1882.0,1042.0,Ja,,1975-1995
HH0083,144,5,Hoekwoning,1980,Goed,3916.0,1450.0,Nee,Laag,1975-1995
HH0084,84,4,Vrijstaand,2001,Goed,3215.0,568.0,Nee,Hoog,1995-2010
HH0085,76,3,Tussenwoning,1999,Matig,2637.0,651.0,Nee,Midden,1995-2010
HH0086,85,5,Appartement,1953,Goed,3586.0,988.0,Ja,Laag,1945-1975
HH0087,127,5,Appartement,1941,Matig,3756.0,1748.0,Nee,Midden,<1945
HH0088,30,5,Hoekwoning,2009,Slecht,3287.0,389.0,Nee,Midden,1995-2010
HH0089,84,3,Tussenwoning,1956,Matig,2705.0,911.0,Ja,Laag,1945-1975
HH0090,115,3,Hoekwoning,1967,Matig,5640.0,1269.0,Nee,Hoog,1945-1975
HH0091,103,2,Tussenwoning,2005,Slecht,2319.0,973.0,Nee,Laag,1995-2010
HH0092,129,4,Tussenwoning,1974,Goed,3314.0,1238.0,Nee,Midden,1945-1975
HH0093,79,1,Tussenwoning,1944,Matig,1764.0,719.0,Nee,Midden,<1945
HH0094,90,5,Appartement,2004,,3615.0,,Nee,Hoog,1995-2010
HH0095,88,2,Vrijstaand,1979,Slecht,2286.0,897.0,Nee,,1975-1995
HH0096,56,1,Hoekwoning,2015,Goed,1616.0,256.0,Nee,Midden,>2010
HH0097,109,2,Vrijstaand,1995,Matig,2330.0,955.0,Ja,Midden,1975-1995
HH0098,108,3,Hoekwoning,1975,Slecht,2737.0,1528.0,Ja,Midden,1945-1975
HH0099,100,5,Tussenwoning,1984,Matig,3628.0,1059.0,Nee,Hoog,1975-1995
HH0100,93,1,Appartement,1962,Slecht,1833.0,893.0,Ja,,1945-1975
HH0101,58,1,Vrijstaand,1986,Goed,1662.0,377.0,Nee,Midden,1975-1995
HH0102,87,1,Appartement,1970,Goed,1745.0,637.0,Nee,Laag,1945-1975
HH0103,90,1,Hoekwoning,1950,Goed,1839.0,657.0,Nee,Laag,1945-1975
HH0104,76,1,Appartement,1949,Goed,1782.0,512.0,Nee,Midden,1945-1975
HH0105,95,2,Appartement,2006,Matig,2295.0,706.0,Nee,,1995-2010
HH0106,112,5,Vrijstaand,1953,Matig,3815.0,1486.0,Nee,Laag,1945-1975
HH0107,157,3,Tussenwoning,2019,Goed,2974.0,854.0,Nee,,>2010
HH0108,105,3,Appartement,2013,Goed,2710.0,676.0,Ja,Hoog,>2010
HH0109,108,3,Tussenwoning,1949,Goed,5436.0,912.0,Nee,Hoog,1945-1975
HH0110,98,3,Hoekwoning,2015,Matig,5657.0,677.0,Nee,Hoog,>2010
HH0111,42,2,Appartement,1940,Goed,2024.0,376.0,Nee,Hoog,<1945
HH0112,99,4,Vrijstaand,1944,Goed,3192.0,1059.0,Nee,Hoog,<1945
HH0113,102,5,Hoekwoning,1959,Goed,3674.0,1029.0,Ja,Hoog,1945-1975
HH0114,174,1,Hoekwoning,1947,Slecht,4008.0,1913.0,Nee,Hoog,1945-1975
HH0115,94,4,Vrijstaand,1982,Goed,3285.0,785.0,Nee,Laag,1975-1995
HH0116,109,3,Appartement,2015,Slecht,2802.0,827.0,Nee,,>2010
HH0117,99,4,Appartement,1940,Slecht,3200.0,1537.0,Nee,Hoog,<1945
HH0118,65,5,Hoekwoning,1996,,3499.0,,Nee,Hoog,1995-2010
HH0119,134,1,Appartement,2003,Slecht,2052.0,1098.0,Nee,Midden,1995-2010
HH0120,123,1,Tussenwoning,1967,Goed,1979.0,921.0,Nee,Laag,1945-1975
HH0121,124,5,Vrijstaand,1976,Matig,3721.0,1483.0,Nee,Laag,1975-1995
HH0122,73,5,Tussenwoning,1986,Matig,3532.0,878.0,Nee,Laag,1975-1995
HH0123,142,3,Appartement,2015,Matig,3094.0,903.0,Ja,Hoog,>2010
HH0124,58,1,Hoekwoning,1976,Matig,2915.0,445.0,Nee,Hoog,1975-1995
HH0125,118,4,Vrijstaand,1988,Slecht,3384.0,1526.0,Nee,Midden,1975-1995
HH0126,166,2,Appartement,1983,,2588.0,,Ja,Laag,1975-1995
HH0127,70,2,Appartement,1995,Goed,2115.0,505.0,Ja,Hoog,1975-1995
HH0128,83,5,Hoekwoning,1967,Goed,3560.0,989.0,Nee,,1945-1975
HH0129,103,3,Hoekwoning,2018,Matig,2768.0,664.0,Nee,,>2010
HH0130,85,2,Tussenwoning,1945,Matig,2272.0,921.0,Nee,Midden,<1945
HH0131,53,1,Vrijstaand,2000,Goed,1570.0,295.0,Nee,Midden,1995-2010
HH0132,102,5,Vrijstaand,1959,Matig,3738.0,1296.0,Ja,Laag,1945-1975
HH0133,68,4,Hoekwoning,2017,Goed,3035.0,390.0,Ja,Hoog,>2010
HH0134,114,5,Tussenwoning,1941,Goed,3696.0,1497.0,Ja,Hoog,<1945
HH0135,72,4,Vrijstaand,2012,Goed,3024.0,440.0,Ja,Midden,>2010
HH0136,146,5,Hoekwoning,1976,Goed,3759.0,1466.0,Ja,Hoog,1975-1995
HH0137,77,5,Appartement,1959,Goed,3567.0,900.0,Nee,Midden,1945-1975
HH0138,90,5,Vrijstaand,1965,Goed,3603.0,912.0,Nee,Laag,1945-1975
HH0139,124,4,Tussenwoning,1968,Goed,3240.0,1286.0,Ja,Midden,1945-1975
HH0140,63,4,Tussenwoning,1940,Matig,2974.0,817.0,Ja,Laag,<1945
HH0141,107,5,Tussenwoning,1974,Goed,3667.0,1188.0,Nee,Midden,1945-1975
HH0142,139,2,Appartement,2009,Goed,4463.0,881.0,Ja,Hoog,1995-2010
HH0143,52,3,Vrijstaand,1998,Matig,2503.0,397.0,Nee,Hoog,1995-2010
HH0144,106,3,Vrijstaand,2008,Matig,2700.0,796.0,Nee,Midden,1995-2010
HH0145,108,3,Appartement,1972,Matig,2777.0,1164.0,Nee,Hoog,1945-1975
HH0146,123,4,Vrijstaand,1990,Goed,3298.0,1055.0,Nee,Hoog,1975-1995
HH0147,63,4,Appartement,2017,Slecht,5377.0,527.0,Ja,Hoog,>2010
HH0148,60,2,Appartement,1951,Slecht,2098.0,715.0,Nee,Laag,1945-1975
HH0149,116,3,Appartement,1959,Matig,2817.0,1239.0,Nee,Hoog,1945-1975
HH0150,109,3,Tussenwoning,1992,Slecht,2833.0,1261.0,Nee,Laag,1975-1995
HH0151,108,5,Vrijstaand,1982,Matig,3790.0,1254.0,Ja,Midden,1975-1995
HH0152,110,4,Appartement,1989,Goed,3312.0,922.0,Nee,,1975-1995
HH0153,80,3,Vrijstaand,1968,Slecht,2639.0,1002.0,Nee,Hoog,1945-1975
HH0154,107,2,Tussenwoning,1996,Goed,2276.0,666.0,Nee,Hoog,1995-2010
HH0155,109,2,Appartement,1978,Slecht,2485.0,1123.0,Nee,,1975-1995
HH0156,79,3,Hoekwoning,1995,Goed,2647.0,635.0,Nee,Laag,1975-1995
HH0157,156,4,Tussenwoning,1982,Slecht,3481.0,2089.0,Nee,,1975-1995
HH0158,114,2,Hoekwoning,1989,Goed,2369.0,893.0,Nee,Hoog,1975-1995
HH0159,64,5,Vrijstaand,1962,Goed,3476.0,631.0,Nee,Midden,1945-1975
HH0160,120,2,Vrijstaand,1983,Slecht,2391.0,1221.0,Nee,Midden,1975-1995
HH0161,71,1,Tussenwoning,1977,Goed,1685.0,450.0,Nee,,1975-1995
HH0162,124,1,Vrijstaand,1962,Goed,1936.0,862.0,Nee,Midden,1945-1975
HH0163,135,4,Hoekwoning,1984,Goed,3373.0,1067.0,Nee,Midden,1975-1995
HH0164,75,3,Tussen woning,1991,Slecht,2605.0,733.0,Nee,Laag,1975-1995
HH0165,129,4,Appartement,2019,Slecht,3299.0,1092.0,Nee,Laag,>2010
HH0166,112,4,Appartement,1989,Goed,3266.0,949.0,Nee,Laag,1975-1995
HH0167,125,4,Tussenwoning,1947,Goed,3309.0,1268.0,Nee,,1945-1975
HH0168,157,4,Vrijstaand,1940,Slecht,3603.0,2464.0,Nee,Midden,<1945
HH0169,93,5,Hoekwoning,1947,Slecht,3492.0,1494.0,Nee,,1945-1975
HH0170,77,5,Vrijstaand,1968,Goed,3577.0,894.0,Ja,Midden,1945-1975
HH0171,73,2,Vrijstaand,1944,Goed,2210.0,652.0,Nee,Laag,<1945
HH0172,76,1,Vrijstaand,1986,Goed,1651.0,470.0,Nee,Hoog,1975-1995
HH0173,98,4,Appartement,1973,Matig,3173.0,1243.0,Ja,Laag,1945-1975
HH0174,110,2,Hoekwoning,2004,Slecht,2330.0,897.0,Nee,Midden,1995-2010
HH0175,108,1,Hoekwoning,1994,Matig,1814.0,894.0,Nee,Midden,1975-1995
HH0176,125,3,Vrijstaand,1982,,2826.0,,Ja,,1975-1995
HH0177,100,5,Appartement,2013,Slecht,3594.0,916.0,Nee,Laag,>2010
HH0178,144,1,Appartement,1969,Slecht,2196.0,1504.0,Nee,Midden,1945-1975
HH0179,92,3,Hoekwoning,2021,Slecht,2753.0,738.0,Nee,Laag,>2010
HH0180,182,1,Appartement,1956,Slecht,2376.0,1749.0,Nee,Hoog,1945-1975
HH0181,119,5,Appartement,1965,Slecht,3788.0,2051.0,Ja,Midden,1945-1975
HH0182,74,5,Appartement,1947,Slecht,3478.0,992.0,Ja,Midden,1945-1975
HH0183,68,2,Tussenwoning,1986,Matig,2122.0,571.0,Nee,Midden,1975-1995
HH0184,114,4,Vrijstaand,2015,Goed,6532.0,679.0,Nee,Hoog,>2010
HH0185,93,1,Hoekwoning,2011,Goed,1758.0,466.0,Nee,Midden,>2010
HH0186,121,1,Hoekwoning,1985,Matig,1998.0,914.0,Ja,Laag,1975-1995
HH0187,114,3,Tussenwoning,2007,Matig,2806.0,825.0,Nee,Laag,1995-2010
HH0188,98,5,Vrijstaand,1972,Matig,3622.0,1293.0,Ja,Midden,1945-1975
HH0189,75,1,Hoekwoning,1940,Matig,1752.0,746.0,Ja,Midden,<1945
HH0190,55,5,Appartement,1958,maitg,3437.0,,Nee,Hoog,1945-1975
HH0191,87,1,Hoekwoning,1970,Goed,1769.0,573.0,Nee,Hoog,1945-1975
HH0192,126,2,Appartement,2019,Slecht,2503.0,944.0,Nee,Hoog,>2010
HH0193,106,4,Tussenwoning,1953,Goed,3173.0,1127.0,Nee,Midden,1945-1975
HH0194,63,1,Appartement,1992,Goed,1684.0,387.0,Nee,Hoog,1975-1995
HH0195,105,5,Hoekwoning,1987,Matig,3706.0,1103.0,Nee,,1975-1995
HH0196,112,2,Hoekwoning,2008,Slecht,2343.0,924.0,Nee,Laag,1995-2010
HH0197,73,1,Hoekwoning,2001,Matig,1727.0,496.0,Nee,Hoog,1995-2010
HH0198,105,3,Tussenwoning,2005,Slecht,2709.0,1046.0,Nee,Laag,1995-2010
HH0199,102,4,Tussenwoning,2003,Goed,3257.0,731.0,Nee,Laag,1995-2010
HH0200,66,1,Vrijstaand,2009,Matig,1674.0,444.0,Ja,Hoog,1995-2010
HH0201,111,2,Hoekwoning,2002,Matig,2326.0,855.0,Nee,Laag,1995-2010
HH0202,117,3,Appartement,2012,,2896.0,,Ja,,>2010
HH0203,132,2,Tussenwoning,1972,Goed,2414.0,1162.0,Nee,Midden,1945-1975
HH0204,132,2,Hoekwoning,1980,Goed,2367.0,920.0,Nee,Hoog,1975-1995
HH0205,27,3,Hoekwoning,1987,Matig,2364.0,246.0,Ja,Midden,1975-1995
HH0206,72,2,Tussenwoning,1952,Slecht,2182.0,829.0,Ja,Laag,1945-1975
HH0207,115,3,Vrijstaand,2012,Matig,2751.0,762.0,Nee,Midden,>2010
HH0208,115,1,Tussenwoning,2016,Slecht,2026.0,635.0,Nee,Hoog,>2010
HH0209,115,3,Tussenwoning,1970,Matig,2705.0,1152.0,Ja,Hoog,1945-1975
HH0210,216,3,Appartement,2014,Matig,3513.0,1209.0,Nee,Laag,>2010
HH0211,117,4,Appartement,2007,Goed,3297.0,895.0,Nee,,1995-2010
HH0212,134,3,Vrijstaand,1943,Slecht,2914.0,2092.0,Nee,Midden,<1945
HH0213,129,3,Hoekwoning,1958,Matig,2860.0,1501.0,Nee,Hoog,1945-1975
HH0214,120,1,Tussenwoning,2009,Matig,1974.0,675.0,Nee,Laag,1995-2010
HH0215,91,4,Vrijstaand,2021,Goed,3153.0,554.0,Nee,,>2010
HH0216,123,5,Appartement,1952,Goed,3833.0,1240.0,Nee,Midden,1945-1975
HH0217,77,1,Tussenwoning,1962,Slecht,1739.0,732.0,Nee,Laag,1945-1975
HH0218,93,1,Hoekwoning,2022,Matig,1822.0,471.0,Ja,Midden,>2010
HH0219,29,5,Tussen woning,2014,Slecht,3290.0,249.0,Ja,Laag,>2010
HH0220,102,3,Appartement,1940,Matig,2757.0,1384.0,Ja,Hoog,<1945
HH0221,169,2,Appartement,1993,Slecht,2671.0,1552.0,Nee,Laag,1975-1995
HH0222,44,4,Vrijstaand,2010,Goed,2882.0,305.0,Nee,Laag,1995-2010
HH0223,121,2,Hoekwoning,1954,Matig,2323.0,1156.0,Nee,Hoog,1945-1975
HH0224,52,5,Tussenwoning,2004,Slecht,3429.0,590.0,Nee,Midden,1995-2010
HH0225,86,1,Vrijstaand,2015,Goed,1787.0,384.0,Nee,Hoog,>2010
HH0226,133,1,Vrijstaand,2010,Goed,2003.0,669.0,Ja,Laag,1995-2010
HH0227,102,4,Vrijstaand,1954,Slecht,3211.0,1456.0,Ja,Hoog,1945-1975
HH0228,68,1,Appartement,1960,Matig,1702.0,596.0,Nee,Laag,1945-1975
HH0229,79,1,Hoekwoning,1958,Matig,1724.0,710.0,Nee,Hoog,1945-1975
HH0230,120,4,Vrijstaand,1999,Goed,3253.0,874.0,Nee,Hoog,1995-2010
HH0231,78,4,Tussenwoning,1972,Matig,3098.0,967.0,Nee,Midden,1945-1975
HH0232,106,5,Hoekwoning,1988,Matig,3628.0,1074.0,Ja,Laag,1975-1995
HH0233,101,1,Tussenwoning,1974,maitg,1876.0,,Nee,,1945-1975
HH0234,80,1,Hoekwoning,1983,Goed,1682.0,536.0,Nee,Laag,1975-1995
HH0235,164,5,Tussenwoning,1950,maitg,4054.0,,Nee,Hoog,1945-1975
HH0236,119,3,Appartement,2011,Matig,2873.0,796.0,Ja,Laag,>2010
HH0237,39,3,Vrijstaand,2017,Goed,2450.0,228.0,Nee,,>2010
HH0238,106,3,Tussenwoning,2013,Goed,2832.0,616.0,Ja,Midden,>2010
HH0239,80,5,Hoekwoning,2005,Slecht,3617.0,849.0,Nee,Midden,1995-2010
HH0240,126,1,Tussen woning,1985,Matig,2044.0,1007.0,Ja,Laag,1975-1995
HH0241,76,5,Vrijstaand,1948,Matig,3460.0,983.0,Nee,Midden,1945-1975
HH0242,97,5,Hoekwoning,1942,Slecht,3573.0,1796.0,Nee,Midden,<1945
HH0243,115,3,Tussenwoning,1965,Slecht,2789.0,1511.0,Nee,Midden,1945-1975
HH0244,126,2,Appartement,2011,Goed,2432.0,592.0,Ja,Hoog,>2010
HH0245,64,1,Appartement,1987,Goed,1687.0,381.0,Ja,Hoog,1975-1995
HH0246,90,3,Tussenwoning,2005,Slecht,2667.0,875.0,Ja,Laag,1995-2010
HH0247,86,2,Vrijstaand,2009,Matig,2238.0,654.0,Ja,Laag,1995-2010
HH0248,80,2,Vrijstaand,1967,Goed,2170.0,598.0,Ja,,1945-1975
HH0249,153,4,Vrijstaand,1965,Goed,3418.0,1494.0,Nee,Hoog,1945-1975
HH0250,112,1,Tussen woning,1964,Matig,1831.0,1027.0,Ja,Midden,1945-1975
HH0251,62,2,Tussenwoning,1951,Goed,2081.0,498.0,Ja,Midden,1945-1975
HH0252,128,3,Vrijstaand,1944,Matig,2803.0,1713.0,Nee,Hoog,<1945
HH0253,164,4,Hoekwoning,1987,Matig,3440.0,1740.0,Nee,Hoog,1975-1995
HH0254,131,1,Vrijstaand,1976,Matig,2074.0,1054.0,Nee,Hoog,1975-1995
HH0255,54,5,Appartement,2018,Slecht,3394.0,483.0,Ja,,>2010
HH0256,85,3,Vrijstaand,1983,Slecht,2787.0,1052.0,Nee,Laag,1975-1995
HH0257,138,2,Tussenwoning,1954,Slecht,2524.0,1673.0,Ja,Midden,1945-1975
HH0258,79,2,Appartement,1982,Matig,2202.0,679.0,Nee,Laag,1975-1995
HH0259,113,3,Tussenwoning,1987,Matig,2767.0,1101.0,Nee,Hoog,1975-1995
HH0260,123,2,Tussenwoning,2009,Slecht,2458.0,1074.0,Ja,,1995-2010
HH0261,72,4,Appartement,1985,Goed,3039.0,677.0,Nee,,1975-1995
HH0262,98,1,Tussenwoning,1982,,1846.0,,Ja,Midden,1975-1995
HH0263,3,4,Tussenwoning,1960,Goed,2719.0,30.0,Ja,Midden,1945-1975
HH0264,69,2,Vrijstaand,1962,Goed,2142.0,562.0,Nee,Laag,1945-1975
HH0265,92,5,Hoekwoning,2019,Matig,3663.0,727.0,Nee,Midden,>2010
HH0266,63,1,Tussenwoning,1986,Matig,1643.0,476.0,Nee,Midden,1975-1995
HH0267,149,1,Tussenwoning,1954,Goed,2092.0,975.0,Ja,Midden,1945-1975
HH0268,57,3,Tussenwoning,1964,Goed,2585.0,554.0,Nee,Hoog,1945-1975
HH0269,87,3,Vrijstaand,1975,Slecht,2658.0,1057.0,Nee,Hoog,1945-1975
HH0270,104,5,Hoekwoning,2014,Slecht,3764.0,944.0,Ja,Laag,>2010
HH0271,143,1,Appartement,1990,Matig,2116.0,1053.0,Ja,Hoog,1975-1995
HH0272,57,5,Vrijstaand,1954,Slecht,3419.0,916.0,Ja,Midden,1945-1975
HH0273,135,3,Vrijstaand,2007,Slecht,2968.0,1122.0,Ja,Hoog,1995-2010
HH0274,100,3,Hoekwoning,1960,Slecht,2799.0,1180.0,Nee,Laag,1945-1975
HH0275,71,1,Hoekwoning,1952,Slecht,1727.0,843.0,Nee,Hoog,1945-1975
HH0276,114,4,Vrijstaand,1958,Goed,3180.0,1230.0,Nee,Midden,1945-1975
HH0277,106,2,Appartement,1973,Matig,2291.0,1133.0,Nee,Midden,1945-1975
HH0278,82,3,Vrijstaand,2017,Slecht,2650.0,632.0,Nee,Laag,>2010
HH0279,102,3,Hoekwoning,2007,Goed,2756.0,738.0,Ja,Hoog,1995-2010
HH0280,88,4,Appartement,1991,Goed,3167.0,755.0,Nee,Hoog,1975-1995
HH0281,103,4,Hoekwoning,1966,Goed,3224.0,1002.0,Ja,Hoog,1945-1975
HH0282,120,5,Appartement,1968,Slecht,3670.0,1641.0,Ja,Midden,1945-1975
HH0283,148,5,Tussenwoning,1967,Slecht,3918.0,2261.0,Nee,Laag,1945-1975
HH0284,63,2,Hoekwoning,1974,Matig,2134.0,600.0,Nee,Hoog,1945-1975
HH0285,164,2,Hoekwoning,1947,Slecht,2666.0,1651.0,Nee,,1945-1975
HH0286,41,1,Vrijstaand,1955,Slecht,1577.0,401.0,Ja,Midden,1945-1975
HH0287,95,5,Hoekwoning,1975,Goed,3665.0,1015.0,Ja,Midden,1945-1975
HH0288,118,3,Hoekwoning,1969,Matig,2867.0,1177.0,Ja,Hoog,1945-1975
HH0289,108,5,Tussenwoning,1957,Slecht,3686.0,1732.0,Nee,Hoog,1945-1975
HH0290,81,3,Hoekwoning,1941,Slecht,2588.0,1154.0,Nee,Hoog,<1945
HH0291,94,4,Tussenwoning,1988,Goed,3190.0,832.0,Nee,Hoog,1975-1995
HH0292,85,5,Tussenwoning,2016,Goed,3584.0,602.0,Ja,,>2010
HH0293,82,4,Tussenwoning,1943,,3121.0,,Nee,Hoog,<1945
HH0294,125,2,Tussenwoning,2014,Matig,2345.0,676.0,Nee,Hoog,>2010
HH0295,111,2,Tussen woning,1946,Matig,2295.0,1119.0,Nee,Hoog,1945-1975
HH0296,79,1,Vrijstaand,2013,Goed,1787.0,341.0,Nee,Hoog,>2010
HH0297,127,5,Appartement,1978,Goed,3782.0,1081.0,Nee,Midden,1975-1995
HH0298,109,4,Hoekwoning,1952,Slecht,3282.0,1518.0,Nee,Hoog,1945-1975
HH0299,124,3,Appartement,1970,,2872.0,,Ja,Laag,1945-1975
